units,block,subblock,trial,dotloc,dotcol,screencol,timestart,timeend
pix,0,0,0,[0. 0.],white,black,0.6077171000069939,1.5066795999882743
pix,0,0,1,[480.   0.],white,black,1.523536199994851,3.006692600029055
pix,0,0,2,[-480.    0.],white,black,3.0231279999716207,4.50651590002235
pix,0,0,3,[  0. 270.],white,black,4.523207699996419,6.006313299993053
pix,0,0,4,[   0. -270.],white,black,6.023220399976708,7.506745500024408
pix,0,0,5,[0. 0.],white,black,7.523186200007331,9.006294600025285
pix,0,1,0,[0. 0.],black,white,9.022833199996967,10.506662699976005
pix,0,1,1,[480.   0.],black,white,10.52284079999663,12.006210700026713
pix,0,1,2,[-480.    0.],black,white,12.02295100002084,13.506209300016053
pix,0,1,3,[  0. 270.],black,white,13.5227691999753,15.006768000021111
pix,0,1,4,[   0. -270.],black,white,15.022973700019065,16.50570229999721
pix,0,1,5,[0. 0.],black,white,16.522029699990526,18.0061652000295
pix,1,0,0,[0. 0.],white,black,18.02469430002384,19.505948700010777
pix,1,0,1,[480.   0.],white,black,19.522919000010006,21.006257999979425
pix,1,0,2,[-480.    0.],white,black,21.022923099983018,22.50620830000844
pix,1,0,3,[  0. 270.],white,black,22.52402070001699,24.0062189999735
pix,1,0,4,[   0. -270.],white,black,24.0227717999951,25.506206799997017
pix,1,0,5,[0. 0.],white,black,25.52308279997669,27.006149100023322
pix,1,1,0,[0. 0.],black,white,27.024746100010816,28.50546050001867
pix,1,1,1,[480.   0.],black,white,28.522739299980458,30.005795300006866
pix,1,1,2,[-480.    0.],black,white,30.023065000015777,31.50602039997466
pix,1,1,3,[  0. 270.],black,white,31.524241400009487,33.00607270002365
pix,1,1,4,[   0. -270.],black,white,33.022835900017526,34.50592670001788
pix,1,1,5,[0. 0.],black,white,34.52285449998453,36.0060705000069
