units,block,subblock,trial,dotloc,dotcol,screencol,timestart,timeend
pix,0,0,0,[0. 0.],white,black,0.5685336999595165,1.501976299798116
pix,0,0,1,[480.   0.],white,black,1.5186557997949421,3.0016396997962147
pix,0,0,2,[-480.    0.],white,black,3.018150699790567,4.502002900000662
pix,0,0,3,[  0. 270.],white,black,4.518155399942771,6.002032299991697
pix,0,0,4,[   0. -270.],white,black,6.018301399890333,7.50214929995127
pix,0,1,0,[0. 0.],black,white,7.518437699880451,9.001773099880666
pix,0,1,1,[480.   0.],black,white,9.01910819998011,10.501785599859431
pix,0,1,2,[-480.    0.],black,white,10.5184421997983,12.001303499797359
pix,0,1,3,[  0. 270.],black,white,12.018454199889675,13.50128179998137
pix,0,1,4,[   0. -270.],black,white,13.519057399826124,15.001662599854171
pix,1,0,0,[0. 0.],white,black,15.018472799798474,16.501205999869853
pix,1,0,1,[480.   0.],white,black,16.518370899837464,18.001706999959424
pix,1,0,2,[-480.    0.],white,black,18.01896269991994,19.501282799988985
pix,1,0,3,[  0. 270.],white,black,19.518482699990273,21.0017672998365
pix,1,0,4,[   0. -270.],white,black,21.01844309992157,22.50129079981707
pix,1,1,0,[0. 0.],black,white,22.518962599802762,24.001854499801993
pix,1,1,1,[480.   0.],black,white,24.018197999801487,25.501323599833995
pix,1,1,2,[-480.    0.],black,white,25.518212699797004,27.001345199998468
pix,1,1,3,[  0. 270.],black,white,27.018446299945936,28.50129589997232
pix,1,1,4,[   0. -270.],black,white,28.51815989986062,30.00134319998324
