units,block,subblock,trial,dotloc,dotcol,screencol,timestart,timeend
pix,0,0,0,[0. 0.],white,black,0.5549838000442833,30.004878599895164
pix,0,0,1,[400.   0.],white,black,30.021242399932817,60.00443689990789
pix,0,0,2,[-400.    0.],white,black,60.020761399995536,90.00398029992357
pix,0,0,3,[  0. 300.],white,black,90.02047570003197,120.00335710006766
pix,0,0,4,[   0. -300.],white,black,120.02004779991694,150.003172500059
pix,0,1,0,[0. 0.],black,white,150.01971979998052,180.00286870007403
pix,0,1,1,[400.   0.],black,white,180.01932489988394,210.00235449988395
pix,0,1,2,[-400.    0.],black,white,210.01935050007887,240.00178069993854
pix,0,1,3,[  0. 300.],black,white,240.018775699893,270.00176030001603
pix,0,1,4,[   0. -300.],black,white,270.0181686999276,300.0012825001031
pix,1,0,0,[0. 0.],white,black,300.01822809991427,330.00071189994924
pix,1,0,1,[400.   0.],white,black,330.01760099991225,360.00047129997984
pix,1,0,2,[-400.    0.],white,black,360.0171614999417,390.01638870011084
pix,1,0,3,[  0. 300.],white,black,390.03350979997776,420.01643140008673
pix,1,0,4,[   0. -300.],white,black,420.03287749993615,450.01597899990156
pix,1,1,0,[0. 0.],black,white,450.03273080009967,480.0154872999992
pix,1,1,1,[400.   0.],black,white,480.0323928000871,510.01491439994425
pix,1,1,2,[-400.    0.],black,white,510.0319207001012,540.0148734000977
pix,1,1,3,[  0. 300.],black,white,540.0317863998935,570.014281099895
pix,1,1,4,[   0. -300.],black,white,570.0312667998951,600.0139468999114
