units,block,subblock,trial,dotloc,dotcol,screencol,timestart,timeend
pix,0,0,0,[0. 0.],white,black,0.7036529998295009,18.00321439979598
pix,0,0,1,[400.   0.],white,black,18.02000239980407,36.00279019982554
pix,0,0,2,[-400.    0.],white,black,36.019846899900585,54.002257799962536
pix,0,0,3,[  0. 300.],white,black,54.01963309990242,72.00275200000033
pix,0,0,4,[   0. -300.],white,black,72.0190719999373,90.00176349980757
pix,0,1,0,[0. 0.],black,white,90.01907219993882,108.00165409990586
pix,0,1,1,[400.   0.],black,white,108.01857139985077,126.00197889981791
pix,0,1,2,[-400.    0.],black,white,126.01856009988114,144.00122689991258
pix,0,1,3,[  0. 300.],black,white,144.01837019994855,162.0014409997966
pix,0,1,4,[   0. -300.],black,white,162.01796189998277,180.00074169994332
pix,1,0,0,[0. 0.],white,black,180.01759249996394,198.0009005998727
pix,1,0,1,[400.   0.],white,black,198.01741929980926,216.00055369990878
pix,1,0,2,[-400.    0.],white,black,216.0174404999707,234.00045469985344
pix,1,0,3,[  0. 300.],white,black,234.01719349995255,252.00001219986007
pix,1,0,4,[   0. -300.],white,black,252.01665249979123,270.0162155998405
pix,1,1,0,[0. 0.],black,white,270.03279269998893,288.0158564997837
pix,1,1,1,[400.   0.],black,white,288.03361769998446,306.0159071998205
pix,1,1,2,[-400.    0.],black,white,306.0326627998147,324.01556659978814
pix,1,1,3,[  0. 300.],black,white,324.0322855999693,342.0154277998954
pix,1,1,4,[   0. -300.],black,white,342.0325293999631,360.01499249995686
