units,block,subblock,trial,dotloc,dotcol,screencol,timestart,timeend
pix,0,0,0,[0. 0.],white,black,0.7076598999556154,0.7077016001567245
pix,0,0,1,[400.   0.],white,black,0.7240324001759291,1.007927100174129
pix,0,0,2,[-400.    0.],white,black,1.0246836000587791,1.5079018000978976
pix,0,0,3,[  0. 300.],white,black,1.5248690000735223,2.007335300091654
pix,0,0,4,[   0. -300.],white,black,2.0242973000276834,2.507945799967274
pix,0,1,0,[0. 0.],black,white,2.524479600135237,3.007920000003651
pix,0,1,1,[400.   0.],black,white,3.0245378999970853,3.507901000091806
pix,0,1,2,[-400.    0.],black,white,3.524563000071794,4.0079608000814915
pix,0,1,3,[  0. 300.],black,white,4.024497700156644,4.507981000002474
pix,0,1,4,[   0. -300.],black,white,4.5244728999678046,5.008075500139967
pix,1,0,0,[0. 0.],white,black,5.024483700050041,5.507939100032672
pix,1,0,1,[400.   0.],white,black,5.524533899966627,6.007544600171968
pix,1,0,2,[-400.    0.],white,black,6.024264100007713,6.50746320001781
pix,1,0,3,[  0. 300.],white,black,6.52455099998042,7.007489799987525
pix,1,0,4,[   0. -300.],white,black,7.024519700091332,7.507392999948934
pix,1,1,0,[0. 0.],black,white,7.524605400161818,8.00746909994632
pix,1,1,1,[400.   0.],black,white,8.024620000040159,8.50749360001646
pix,1,1,2,[-400.    0.],black,white,8.52454030001536,9.00749500002712
pix,1,1,3,[  0. 300.],black,white,9.024568099994212,9.507907200139016
pix,1,1,4,[   0. -300.],black,white,9.524296200135723,10.007436000043526
