units,block,subblock,trial,dotloc,dotcol,screencol,timestart,timeend
pix,0,0,0,[0. 0.],white,black,0.5844052000902593,0.5844602000433952
pix,0,0,1,[400.   0.],white,black,0.6007501999847591,1.001155799953267
pix,0,0,2,[-400.    0.],white,black,1.0178537000901997,1.5011571999639273
pix,0,0,3,[  0. 300.],white,black,1.5175084001384676,2.0011849999427795
pix,0,0,4,[   0. -300.],white,black,2.017590200062841,2.5011265000794083
pix,0,1,0,[0. 0.],black,white,2.517956200055778,3.0011611999943852
pix,0,1,1,[400.   0.],black,white,3.0175874000415206,3.5011039001401514
pix,0,1,2,[-400.    0.],black,white,3.5174686999525875,4.001056500012055
pix,0,1,3,[  0. 300.],black,white,4.017548599978909,4.501093999948353
pix,0,1,4,[   0. -300.],black,white,4.517957099946216,5.001056900015101
pix,1,0,0,[0. 0.],white,black,5.017458900110796,5.501065300079063
pix,1,0,1,[400.   0.],white,black,5.517357399920002,6.001061300048605
pix,1,0,2,[-400.    0.],white,black,6.017474099993706,6.50101329991594
pix,1,0,3,[  0. 300.],white,black,6.517513500060886,7.00105300010182
pix,1,0,4,[   0. -300.],white,black,7.017404699930921,7.501054600114003
pix,1,1,0,[0. 0.],black,white,7.5175493999850005,8.001056200126186
pix,1,1,1,[400.   0.],black,white,8.017483999952674,8.500837800092995
pix,1,1,2,[-400.    0.],black,white,8.517531200079247,9.001021699979901
pix,1,1,3,[  0. 300.],black,white,9.017676700139418,9.501067300094292
pix,1,1,4,[   0. -300.],black,white,9.517539900029078,10.001082099974155
