units,block,subblock,trial,dotloc,dotcol,screencol,timestart,timeend
pix,0,0,0,[0. 0.],white,black,0.6316596000106074,1.5017785000090953
pix,0,0,1,[480.   0.],white,black,1.5182127000007313,3.0017058000084944
pix,0,0,2,[-480.    0.],white,black,3.0182136000075843,4.501717800012557
pix,0,0,3,[  0. 270.],white,black,4.518319800001336,6.001747200003592
pix,0,0,4,[   0. -270.],white,black,6.018360699992627,7.501598900009412
pix,0,1,0,[0. 0.],black,white,7.518341199989663,9.001726799993776
pix,0,1,1,[480.   0.],black,white,9.018242099991767,10.500708300009137
pix,0,1,2,[-480.    0.],black,white,10.517334800009849,12.001176799996756
pix,0,1,3,[  0. 270.],black,white,12.018283399986103,13.501734099991154
pix,0,1,4,[   0. -270.],black,white,13.518366600008449,15.001295599999139
pix,1,0,0,[0. 0.],white,black,15.018290700012585,16.501248499989742
pix,1,0,1,[480.   0.],white,black,16.518274300004123,18.001435299986042
pix,1,0,2,[-480.    0.],white,black,18.02007080000476,19.501432299992302
pix,1,0,3,[  0. 270.],white,black,19.51808360000723,21.00172199998633
pix,1,0,4,[   0. -270.],white,black,21.018086299998686,22.501471199997468
pix,1,1,0,[0. 0.],black,white,22.519463200005703,24.00149419999798
pix,1,1,1,[480.   0.],black,white,24.01850929998909,25.501320200011833
pix,1,1,2,[-480.    0.],black,white,25.51808899999014,27.001489099988248
pix,1,1,3,[  0. 270.],black,white,27.019339099992067,28.501627499994356
pix,1,1,4,[   0. -270.],black,white,28.518509599991376,30.001382199989166
