units,block,subblock,trial,dotloc,dotcol,screencol,timestart,timeend
norm,0,0,0,[0. 0.],white,black,0.6017007000045851,1.502888199989684
norm,0,0,1,[0.5 0. ],white,black,1.519674599985592,3.002578400017228
norm,0,0,2,[-0.5  0. ],white,black,3.01960759999929,4.50295960000949
norm,0,0,3,[0.  0.5],white,black,4.519604099972639,6.003201899991836
norm,0,0,4,[ 0.  -0.5],white,black,6.019656099961139,7.502649099973496
norm,0,0,5,[0. 0.],white,black,7.519460099982098,9.002722100005485
norm,0,1,0,[0. 0.],black,white,9.019609400012996,10.502369499998167
norm,0,1,1,[0.5 0. ],black,white,10.51946089998819,12.00293919997057
norm,0,1,2,[-0.5  0. ],black,white,12.019600700004958,13.503264800005127
norm,0,1,3,[0.  0.5],black,white,13.519660499994643,15.003283099969849
norm,0,1,4,[ 0.  -0.5],black,white,15.019787399971392,16.503083399962634
norm,0,1,5,[0. 0.],black,white,16.518998300016392,18.00305689999368
norm,1,0,0,[0. 0.],white,black,18.019248399999924,19.5029931999743
norm,1,0,1,[0.5 0. ],white,black,19.520568799984176,21.00282569997944
norm,1,0,2,[-0.5  0. ],white,black,21.019203000003472,22.5028094999725
norm,1,0,3,[0.  0.5],white,black,22.519358999968972,24.00278059998527
norm,1,0,4,[ 0.  -0.5],white,black,24.019347099994775,25.502783600008115
norm,1,0,5,[0. 0.],white,black,25.520035699999426,27.0028790999786
norm,1,1,0,[0. 0.],black,white,27.01912159996573,28.502860700013116
norm,1,1,1,[0.5 0. ],black,white,28.520259400014766,30.002044799970463
norm,1,1,2,[-0.5  0. ],black,white,30.01912650000304,31.501686099974904
norm,1,1,3,[0.  0.5],black,white,31.51914389996091,33.00215139996726
norm,1,1,4,[ 0.  -0.5],black,white,33.02089739998337,34.50210069998866
norm,1,1,5,[0. 0.],black,white,34.51938179996796,36.00186479999684
