units,block,subblock,trial,dotloc,dotcol,screencol,timestart,timeend
norm,0,0,0,[0. 0.],white,black,0.5778743999544531,1.5113768998999149
norm,0,0,1,[0.5 0. ],white,black,1.5277660998981446,3.0110080998856574
norm,0,0,2,[-0.5  0. ],white,black,3.0278393998742104,4.510974199976772
norm,0,0,3,[0.  0.5],white,black,4.528027399908751,6.011136999819428
norm,0,0,4,[ 0.  -0.5],white,black,6.028226400027052,7.510959799867123
norm,0,1,0,[0. 0.],black,white,7.527954599820077,9.010833599837497
norm,0,1,1,[0.5 0. ],black,white,9.028171299956739,10.511408499907702
norm,0,1,2,[-0.5  0. ],black,white,10.528388199862093,12.011417499976233
norm,0,1,3,[0.  0.5],black,white,12.027996900025755,13.51089259982109
norm,0,1,4,[ 0.  -0.5],black,white,13.528002299834043,15.010895799845457
norm,1,0,0,[0. 0.],white,black,15.027966599911451,16.510942899854854
norm,1,0,1,[0.5 0. ],white,black,16.528065599966794,18.01114959991537
norm,1,0,2,[-0.5  0. ],white,black,18.027581400005147,19.510821999982
norm,1,0,3,[0.  0.5],white,black,19.527908699819818,21.010882599977776
norm,1,0,4,[ 0.  -0.5],white,black,21.027161799836904,22.51108399988152
norm,1,1,0,[0. 0.],black,white,22.52757459995337,24.010843300027773
norm,1,1,1,[0.5 0. ],black,white,24.027659700019285,25.510593799874187
norm,1,1,2,[-0.5  0. ],black,white,25.527122600004077,27.010787699837238
norm,1,1,3,[0.  0.5],black,white,27.027165699983016,28.510756799951196
norm,1,1,4,[ 0.  -0.5],black,white,28.52775669982657,30.010650999844074
