units,block,subblock,trial,dotloc,dotcol,screencol,timestart,timeend
pix,0,0,0,[0. 0.],white,black,0.5630876999348402,1.5132192999590188
pix,0,0,1,[480.   0.],white,black,1.529833500040695,3.0132627999410033
pix,0,0,2,[-480.    0.],white,black,3.029890300007537,4.513112699845806
pix,0,0,3,[  0. 270.],white,black,4.53003909997642,6.01302900002338
pix,0,0,4,[   0. -270.],white,black,6.029847800033167,7.513318500015885
pix,0,1,0,[0. 0.],black,white,7.530157399829477,9.013060400029644
pix,0,1,1,[480.   0.],black,white,9.030065399827436,10.512991199968383
pix,0,1,2,[-480.    0.],black,white,10.530058400006965,12.013487099902704
pix,0,1,3,[  0. 270.],black,white,12.030018399935216,13.513016100041568
pix,0,1,4,[   0. -270.],black,white,13.530106799909845,15.012977699982002
pix,1,0,0,[0. 0.],white,black,15.030018900055438,16.512911999830976
pix,1,0,1,[480.   0.],white,black,16.52995410002768,18.01318889996037
pix,1,0,2,[-480.    0.],white,black,18.030094499932602,19.51322519988753
pix,1,0,3,[  0. 270.],white,black,19.530124600045383,21.01320319995284
pix,1,0,4,[   0. -270.],white,black,21.030100899981335,22.512899099849164
pix,1,1,0,[0. 0.],black,white,22.5299243000336,24.01315759983845
pix,1,1,1,[480.   0.],black,white,24.029744499828666,25.513149899896234
pix,1,1,2,[-480.    0.],black,white,25.52962139993906,27.013077799929306
pix,1,1,3,[  0. 270.],black,white,27.02997349994257,28.5130826998502
pix,1,1,4,[   0. -270.],black,white,28.529539400013164,30.013180600013584
